team,win_rate_last10,wins_last10_count,form_score_last10,win_rate_last10_away,wins_last10_count_away,form_score_last10_away,home_rank_proxy,away_rank_proxy,ranking_diff_proxy,home_advantage,year
Qatar,0.5,5,0.5666666666666667,0.1,1,0.2,1.4315196998123827,0.9513274336283186,0.4801922661840641,1,2026
Japan,0.6,6,0.7,0.7,7,0.7666666666666667,1.754060324825986,1.7623604465709728,-0.0083001217449867,1,2026
South Korea,0.6,6,0.7,0.7,7,0.7666666666666667,1.754060324825986,1.7623604465709728,-0.0083001217449867,1,2026
Saudi Arabia,0.3,3,0.3666666666666666,0.5,5,0.6,1.15018315018315,1.5842696629213484,-0.4340865127381983,1,2026
Oman,0.5,5,0.6,0.5,5,0.5666666666666667,1.553191489361702,1.2955555555555556,0.2576359338061464,1,2026
United States,0.6,6,0.6333333333333333,0.3,3,0.4333333333333333,1.453216374269006,1.630794701986755,-0.1775783277177491,1,2026
Bahrain,0.3,3,0.4666666666666667,0.4,4,0.5333333333333333,1.2167689161554192,1.5842696629213484,-0.3675007467659292,1,2026
Tunisia,0.6,6,0.6333333333333333,0.5,5,0.6333333333333333,1.432013769363167,1.3820224719101124,0.0499912974530545,1,2026
Algeria,0.3,3,0.4333333333333333,0.5,5,0.6333333333333333,0.8207885304659498,1.4,-0.5792114695340501,1,2026
United Arab Emirates,0.6,6,0.6666666666666666,0.5,5,0.6333333333333333,1.4088291746641075,1.5850091407678244,-0.1761799661037169,1,2026
Zimbabwe,0.3,3,0.4333333333333333,0.3,3,0.4666666666666667,1.5612813370473535,1.3706140350877194,0.1906673019596343,1,2026
Uganda,0.5,5,0.6333333333333333,0.4,4,0.6,1.546474358974359,1.2042628774422734,0.3422114815320856,1,2026
Ivory Coast,0.6,6,0.6333333333333333,0.3,3,0.4666666666666667,1.6,1.5173160173160174,0.0826839826839826,1,2026
China PR,0.2,2,0.3,0.6,6,0.6333333333333333,1.4910025706940877,1.8104026845637584,-0.3194001138696709,1,2026
Brazil,0.4,4,0.5666666666666667,0.6,6,0.7333333333333333,2.1906218144750254,1.754060324825986,0.4365614896490393,1,2026
Iraq,0.1,1,0.2,0.6,6,0.7,0.9513274336283186,1.5850091407678244,-0.6336817071395058,1,2026
Senegal,0.0,0,0.2333333333333333,0.5,5,0.5333333333333333,0.8217391304347826,1.3043478260869563,-0.4826086956521739,1,2026
Jordan,0.5,5,0.5666666666666667,0.2,2,0.2666666666666666,1.2142857142857142,1.2885906040268456,-0.0743048897411313,1,2026
Mexico,0.8,8,0.8333333333333334,0.4,4,0.4333333333333333,1.7422324510932106,1.6842105263157894,0.0580219247774211,1,2026
Peru,0.5,5,0.6,0.2,2,0.3,1.2236363636363636,1.231139646869984,-0.0075032832336203,1,2026
Nigeria,0.2,2,0.4,0.4,4,0.5,0.8185483870967742,1.4861111111111112,-0.6675627240143369,1,2026
Zambia,0.3,3,0.4333333333333333,0.3,3,0.4666666666666667,1.5612813370473535,1.3706140350877194,0.1906673019596343,1,2026
Mali,0.2,2,0.2666666666666666,0.3,3,0.4333333333333333,0.9217391304347826,1.2685370741482966,-0.346797943713514,1,2026
Tanzania,0.2,2,0.2666666666666666,0.2,2,0.3333333333333333,1.2670623145400592,1.128060263653484,0.1390020508865752,1,2026
Namibia,0.2,2,0.2666666666666666,0.5,5,0.5,1.354077253218884,1.0131004366812226,0.3409768165376614,1,2026
Madagascar,0.1,1,0.2,0.5,5,0.5666666666666667,0.926829268292683,1.31981981981982,-0.3929905515271369,1,2026
South Africa,0.3,3,0.3666666666666666,0.4,4,0.5,1.33,1.128463476070529,0.201536523929471,1,2026
Nicaragua,0.2,2,0.2333333333333333,0.5,5,0.5666666666666667,0.8774193548387097,1.9339080459770115,-1.0564886911383018,1,2026
Mauritania,0.1,1,0.2666666666666666,0.4,4,0.5,0.7311320754716981,1.0625,-0.3313679245283019,1,2026
North Korea,0.3,3,0.3666666666666666,0.5,5,0.5333333333333333,1.15018315018315,1.5911764705882352,-0.4409933204050851,1,2026
El Salvador,0.7,7,0.7333333333333333,0.6,6,0.6666666666666666,1.2235528942115768,1.203125,0.0204278942115767,1,2026
Malaysia,0.7,7,0.7,0.3,3,0.3333333333333333,1.5083056478405317,1.6618444846292948,-0.1535388367887631,1,2026
